2019-04-17 19:27:06,516 p=1186 u=vibakar |  - roles/tomcat was created successfully
2019-04-18 09:19:28,056 p=10028 u=vibakar |  TASK [tomcat : configure tomcat port] ******************************************
2019-04-18 09:19:28,466 p=10028 u=vibakar |  changed: [local]
2019-04-18 09:19:28,520 p=10028 u=vibakar |  TASK [tomcat : copy bookstore-app dist to tomcat] ******************************
2019-04-18 09:19:33,369 p=10028 u=vibakar |  ok: [local]
2019-04-18 09:19:33,421 p=10028 u=vibakar |  TASK [tomcat : start tomcat] ***************************************************
2019-04-18 09:19:33,697 p=10028 u=vibakar |  changed: [local]
2019-04-18 09:19:33,699 p=10028 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-18 09:19:33,700 p=10028 u=vibakar |  local                      : ok=6    changed=3    unreachable=0    failed=0   
2019-04-18 14:02:34,430 p=13494 u=vibakar |  PLAY [local] *********************************************************************************************************************************
2019-04-18 14:02:34,440 p=13494 u=vibakar |  TASK [Gathering Facts] ***********************************************************************************************************************
2019-04-18 14:02:34,921 p=13494 u=vibakar |  fatal: [local]: FAILED! => {"changed": false, "module_stderr": "sudo: a password is required\n", "module_stdout": "", "msg": "MODULE FAILURE\nSee stdout/stderr for the exact error", "rc": 1}
2019-04-18 14:02:34,922 p=13494 u=vibakar |  	to retry, use: --limit @/home/vibakar/Downloads/ILP3/roles/tomcat/server.retry

2019-04-18 14:02:34,922 p=13494 u=vibakar |  PLAY RECAP ***********************************************************************************************************************************
2019-04-18 14:02:34,922 p=13494 u=vibakar |  local                      : ok=0    changed=0    unreachable=0    failed=1   
2019-04-18 14:03:05,368 p=13534 u=vibakar |  PLAY [local] *********************************************************************************************************************************
2019-04-18 14:03:05,382 p=13534 u=vibakar |  TASK [Gathering Facts] ***********************************************************************************************************************
2019-04-18 14:03:06,777 p=13534 u=vibakar |  ok: [local]
2019-04-18 14:03:06,835 p=13534 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *******************************************************************************************
2019-04-18 14:03:07,167 p=13534 u=vibakar |  changed: [local]
2019-04-18 14:03:07,222 p=13534 u=vibakar |  TASK [tomcat : Unarchive tomcat] *************************************************************************************************************
2019-04-18 14:03:08,487 p=13534 u=vibakar |  changed: [local]
2019-04-18 14:03:08,545 p=13534 u=vibakar |  TASK [tomcat : configure tomcat port] ********************************************************************************************************
2019-04-18 14:03:08,801 p=13534 u=vibakar |  ok: [local]
